BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS611,LIDE,9.503317777109126e-5,0,140,1,-0.1818450200867694
BS611,LIDE,4.5238934211693025e-4,0,140,1,-0.180330717431405
BS611,LIDE,0.192746919473858,1,140,1,0.6345205336267331
BS611,LIDE,0.0010382963720114266,1,140,1,-0.17784792670414817
BS611,LIDE,0.0012448560889849556,0,140,1,-0.17697262648797055
BS611,UMCA,1.7671458676442585e-4,1,140,4,-0.18149889376554323
BS611,LIDE,0.0014145020922788044,1,140,1,-0.17625374874388544
BS611,LIDE,7.547676350249479e-4,1,140,1,-0.17904938441532742
BS611,QUPA,4.1547562843725005e-4,0,140,3,-0.18048713990349757
BS611,QUPA,2.835287369864788e-4,0,140,3,-0.18104626703778598
BS611,LIDE,3.8013271108436504e-4,1,140,1,-0.18063690610018196
BS611,LIDE,0.0011341149479459152,1,140,1,-0.1774418939042483
BS611,LIDE,9.0792027688745e-4,1,140,1,-0.1784003975630284
BS611,LIDE,1.7671458676442585e-4,0,140,1,-0.18149889376554323
BS611,LIDE,7.068583470577034e-4,1,140,1,-0.17925240081527735
BS611,LIDE,1.7671458676442585e-4,0,140,1,-0.18149889376554323
BS611,QUPA,4.0840704496667313e-4,0,140,3,-0.18051709314283443
BS611,LIDE,1.5393804002589983e-4,0,140,1,-0.18159540975896207
BS611,LIDE,0.0010218030105800804,0,140,1,-0.17791781759593425
BS611,LIDE,1.5393804002589983e-4,1,140,1,-0.18159540975896207
BS611,UMCA,7.853981633974483e-5,1,140,4,-0.18191491097855542
BS611,LIDE,7.853981633974483e-5,0,140,1,-0.18191491097855542
BS611,LIDE,2.269800692218625e-4,0,140,1,-0.18128589295248101
BS611,LIDE,4.908738521234052e-4,0,140,1,-0.18016763868390423
BS611,LIDE,2.835287369864788e-4,1,140,1,-0.18104626703778598
BS611,LIDE,0.002927964353145687,1,140,1,-0.16984042738808944
BS611,LIDE,0.0015205308443374602,1,140,1,-0.17580445015383228
BS611,LIDE,3.463605900582747e-4,0,140,1,-0.18078001602145816
BS611,LIDE,1.1309733552923256e-4,0,140,1,-0.18176847291957512
BS611,LIDE,0.00223445777486574,0,140,1,-0.17277917298080758
BS611,LIDE,2.269800692218625e-4,0,140,1,-0.18128589295248101
BS611,LIDE,8.55298599939821e-4,0,140,1,-0.17862338278920292
BS611,LIDE,9.432631942403355e-4,0,140,1,-0.17825063136634398
BS612,LIDE,0.005414534938462009,0,141,1,-0.15930354341691652
BS612,LIDE,7.547676350249479e-4,0,141,1,-0.17904938441532742
BS612,LIDE,2.269800692218625e-4,0,141,1,-0.18128589295248101
BS612,LIDE,1.3273228961416876e-4,0,141,1,-0.1816852694769727
BS612,LIDE,0.003421194399759284,0,141,1,-0.16775035690991616
